Month,Average Wind Speed(stdev),Average Ambient Temperature(stdev),Solar Radiation
January,44.8(10.3),249(5.36),2.31e+003
February,78.4(12.7),303(4.78),2.52e+003
March,93.5(10.6),298(4.74),2.74e+003
April,117(11.6),329(5.04),2.89e+003
May,131(10.7),335(4.59),3.01e+003
June,155(11.7),361(3.4),3.09e+003
July,185(13.4),396(3.86),3.17e+003
August,187(13.7),375(4.19),3.31e+003
September,212(12.5),402(3.89),3.46e+003
October,226(11.7),410(4.31),3.66e+003
November,258(11),447(4.64),3.87e+003
December,273(10.6),457(4.79),4.11e+003
